module,depends_on,description,succeeded_by,status
01_protein_sequences,input,UniProt protein sequences,none,
03_avp_model,01_protein_sequences,AVP prediction model,35_external_dataset_curation_and_locked_holdout_validation,
35_external_dataset_curation_and_locked_holdout_validation,03_avp_model,Frozen model + DLAVP lock,37_local_plm_handcrafted_fusion_grouped_benchmark,
37_local_plm_handcrafted_fusion_grouped_benchmark,35,Local PLM + handcrafted fusion,38_nested_grouped_model_selection_audit,
42_esmc300_grouped_benchmark_and_nested_fusion,37,ESM-C 300 grouped benchmark,57_grouped_oof_prediction_calibration_and_extended_metrics,
57_grouped_oof_prediction_calibration_and_extended_metrics,42,OOF predictions + extended metrics,58_nested_late_fusion_oof_and_full_metric_comparison,COMPLETE
58_nested_late_fusion_oof_and_full_metric_comparison,57,Nested late fusion metrics,59_extended_metrics_manuscript_integration_and_claim_audit,COMPLETE
64_multi_seed_nested_benchmark_and_candidate_robustness,58,Multi-seed robustness,,COMPLETE
65_dbaasp_antiviral_candidate_readonly_audit,35,DBAASP read-only audit,69_dbaasp_full_antiviral_pagination_audit,BLOCKED_NO_QUALIFIED_DBAASP_SET
69_dbaasp_full_antiviral_pagination_audit,65,Full DBAASP pagination,70_final_reconciliation,CANDIDATE_READY_FOR_HUMAN_APPROVAL
70_final_reconciliation,69,Final lock reconciliation,A1-73_dbaasp_lock_provenance_handoff,READY_FOR_HUMAN_APPROVAL_FINAL
A1-73_dbaasp_lock_provenance_handoff,70_final_reconciliation,Lock provenance handoff,73_cross_agent_lock_manifest_and_scaler_reconciliation,COMPLETE_A1_LOCK_HANDOFF_AWAITING_A2_RECONCILIATION
73_cross_agent_lock_manifest_and_scaler_reconciliation,A1-73,Corrected predictions + scaler fix,74_final_external_validation_manuscript_and_website_integration,COMPLETE_FINAL_EXTERNAL_EVALUATION_WITH_LIMITATIONS
74_final_external_validation_manuscript_and_website_integration,73,External validation manuscript,A2-74_final_external_validation_manuscript_and_website_integration,READY_FOR_WEBSITE_APPROVAL
A1-75_external_validation_transportability_and_threshold_robustness,73,Transportability + threshold audit,post76_final_supplement_and_website_batch_reconciliation,COMPLETE_TRANSPORTABILITY_AUDIT_WITH_LIMITATIONS
post76_final_supplement_and_website_batch_reconciliation,A1-75,Final supplement + website batch,final_master_evidence_handoff_package,COMPLETE_FINAL_SUPPLEMENT_WITH_LIMITATIONS
71_dbaasp_frozen_external_validation_full_analysis,70R.1,"LEGACY: old 692 count, CI errors",none,COMPLETE_EXTERNAL_EVALUATION_WITH_LIMITATIONS (superseded)
72_final_dbaasp_lock_and_external_validation,70_final_reconciliation,DUPLICATE_MODULE_ID_DATA_LOCK_RECORD,none,DUPLICATE_MODULE_ID_DATA_LOCK_RECORD (invalidated)
